assay_occurrence_id,specimen_source_value,assay_start_date,assay_source_value,assay_type_source_value
A1,GSE60682,4:00:00,ATAC,Sequencing
A2,GSE60683,2:00:00,ATAC,Sequencing
A3,GSE60684,1:00:00,ATAC,Sequencing
A4,GSE60685,0:00:00,ATAC,Sequencing
A5,GSE60686,39-00:00:00,ATAC,Sequencing
A6,GSE60687,38-00:00:00,ATAC,Sequencing
A7,GSE60688,37-00:00:00,ATAC,Sequencing
A8,GSE60689,224-00:00:00,ATAC,Sequencing
A9,GSE60690,2-00:00:00,ATAC,Sequencing
A10,GSE60691,1-00:00:00,ATAC,Sequencing
A11,GSE60692,4:00:00,ATAC,Sequencing
A12,GSE60693,4:00:00,ATAC,Sequencing
A13,GSE60694,2:00:00,ATAC,Sequencing
A14,GSE60695,1:00:00,ATAC,Sequencing
A15,GSE60696,0:00:00,ATAC,Sequencing
A16,GSE60697,38-00:00:00,ATAC,Sequencing
A17,GSE60698,37-00:00:00,ATAC,Sequencing
A18,GSE60699,224-00:00:00,ATAC,Sequencing
A19,GSE60700,2-00:00:00,ATAC,Sequencing
A20,GSE60701,1-00:00:00,ATAC,Sequencing
A21,GSE60702,4:00:00,ATAC,Sequencing
A32,GSE60713,37-00:00:00,ATAC,Sequencing
A33,GSE60714,224-00:00:00,ATAC,Sequencing
A34,GSE60715,224-00:00:00,ATAC,Sequencing
A39,GSE60720,37-00:00:00,ATAC,Sequencing
A46,GSE60727,37-00:00:00,ATAC,Sequencing
A47,GSE60728,224-00:00:00,ATAC,Sequencing
A48,GSE60729,107-00:00:00,ATAC,Sequencing
A49,GSE60730,224-00:00:00,ATAC,Sequencing
A50,GSE60731,107-00:00:00,ATAC,Sequencing
A51,GSE60732,0,ATAC,Sequencing
A52,GSE60733,0,ATAC,Sequencing
A53,GSE60734,0,ATAC,Sequencing
A54,GSE60735,0,ATAC,Sequencing
A55,GSE60736,38-00:00:00,ATAC,Sequencing
A56,GSE60737,38-00:00:00,ATAC,Sequencing
A57,GSE60738,38-00:00:00,ATAC,Sequencing
A58,GSE60739,38-00:00:00,ATAC,Sequencing
A22,GSE60703,38-00:00:00,ATAC,Sequencing
A23,GSE60704,224-00:00:00,ATAC,Sequencing
A24,GSE60705,224-00:00:00,ATAC,Sequencing
A25,GSE60706,0,ATAC,Sequencing
A26,GSE60707,0,ATAC,Sequencing
A27,GSE60708,0,ATAC,Sequencing
A28,GSE60709,0,ATAC,Sequencing
A29,GSE60710,0,ATAC,Sequencing
A30,GSE60711,0,ATAC,Sequencing
A31,GSE60712,0,ATAC,Sequencing
A35,GSE60716,0,ATAC,Sequencing
A36,GSE60717,0,ATAC,Sequencing
A37,GSE60718,0,ATAC,Sequencing
A38,GSE60719,0,ATAC,Sequencing
A40,GSE60721,192-00:00:00,ATAC,Sequencing
A41,GSE60722,192-00:00:00,ATAC,Sequencing
A42,GSE60723,224-00:00:00,ATAC,Sequencing
A43,GSE60724,224-00:00:00,ATAC,Sequencing
A44,GSE60725,224-00:00:00,ATAC,Sequencing
A45,GSE60726,224-00:00:00,ATAC,Sequencing
