assay_occurrence_data_id,file_source_value,specimen_id
AOD1,data/GSE60682_RAW/GSM1484783_Donor1_4hrsControl_Rep1.bed.gz,S1
AOD2,data/GSE60682_RAW/GSM1484784_Donor1_4hrsControl_Rep2.bed.gz,S2
AOD3,data/GSE60682_RAW/GSM1484785_Donor1_Day1_Rep1.bed.gz,S3
AOD4,data/GSE60682_RAW/GSM1484786_Donor1_Day1_Rep2.bed.gz,S4
AOD5,data/GSE60682_RAW/GSM1484787_Donor1_Day2_Rep1.bed.gz,S5
AOD6,data/GSE60682_RAW/GSM1484788_Donor1_Day2_Rep2.bed.gz,S6
AOD7,data/GSE60682_RAW/GSM1484789_Donor1_Day224_Rep1.bed.gz,S7
AOD8,data/GSE60682_RAW/GSM1484790_Donor1_Day224_Rep2.bed.gz,S8
AOD9,data/GSE60682_RAW/GSM1484791_Donor1_Day37_Rep1.bed.gz,S9
AOD10,data/GSE60682_RAW/GSM1484792_Donor1_Day37_Rep2.bed.gz,S10
AOD11,data/GSE60682_RAW/GSM1484793_Donor1_Day38_Rep1.bed.gz,S11
AOD12,data/GSE60682_RAW/GSM1484794_Donor1_Day38_Rep2.bed.gz,S12
AOD13,data/GSE60682_RAW/GSM1484795_Donor1_Day39_Rep1.bed.gz,S13
AOD14,data/GSE60682_RAW/GSM1484796_Donor1_TCA0hrs_Rep1.bed.gz,S14
AOD15,data/GSE60682_RAW/GSM1484797_Donor1_TCA0hrs_Rep2.bed.gz,S15
AOD16,data/GSE60682_RAW/GSM1484798_Donor1_TCA1hrs_Rep1.bed.gz,S16
AOD17,data/GSE60682_RAW/GSM1484799_Donor1_TCA1hrs_Rep2.bed.gz,S17
AOD18,data/GSE60682_RAW/GSM1484800_Donor1_TCA2hrs_Rep1.bed.gz,S18
AOD19,data/GSE60682_RAW/GSM1484801_Donor1_TCA2hrs_Rep2.bed.gz,S19
AOD20,data/GSE60682_RAW/GSM1484802_Donor1_TCA4hrs_Rep1.bed.gz,S20
AOD21,data/GSE60682_RAW/GSM1484803_Donor1_TCA4hrs_Rep2.bed.gz,S21
AOD22,data/GSE60682_RAW/GSM1484804_Donor10_Day224_Rep1.bed.gz,S22
AOD23,data/GSE60682_RAW/GSM1484805_Donor10_Day224_Rep2.bed.gz,S23
AOD24,data/GSE60682_RAW/GSM1484806_Donor10_Day38_Rep1.bed.gz,S24
AOD25,data/GSE60682_RAW/GSM1484807_Donor11_CTCL_Rep1.bed.gz,S25
AOD26,data/GSE60682_RAW/GSM1484808_Donor11_CTCL_Rep2.bed.gz,S26
AOD27,data/GSE60682_RAW/GSM1484809_Donor11_CTCL_Rep3.bed.gz,S27
AOD28,data/GSE60682_RAW/GSM1484810_Donor11_CTCL_Rep4.bed.gz,S28
AOD29,data/GSE60682_RAW/GSM1484811_Donor11_CTCL_Rep5.bed.gz,S29
AOD30,data/GSE60682_RAW/GSM1484812_Donor11_CTCL_Rep6.bed.gz,S30
AOD31,data/GSE60682_RAW/GSM1484813_Donor11_CTCL_Rep7.bed.gz,S31
AOD32,data/GSE60682_RAW/GSM1484814_Donor2_Day224_Rep1.bed.gz,S32
AOD33,data/GSE60682_RAW/GSM1484815_Donor2_Day224_Rep2.bed.gz,S33
AOD34,data/GSE60682_RAW/GSM1484816_Donor2_Day37_Rep1.bed.gz,S34
AOD35,data/GSE60682_RAW/GSM1484817_Donor20_CTCL_Rep1.bed.gz,S35
AOD36,data/GSE60682_RAW/GSM1484818_Donor20_CTCL_Rep2.bed.gz,S36
AOD37,data/GSE60682_RAW/GSM1484819_Donor20_CTCL_Rep3.bed.gz,S37
AOD38,data/GSE60682_RAW/GSM1484820_Donor20_CTCL_Rep4.bed.gz,S38
AOD39,data/GSE60682_RAW/GSM1484821_Donor3_Day37_Rep1.bed.gz,S39
AOD40,data/GSE60682_RAW/GSM1484822_Donor32_Day224_Rep1.bed.gz,S40
AOD41,data/GSE60682_RAW/GSM1484823_Donor32_Day224_Rep2.bed.gz,S41
AOD42,data/GSE60682_RAW/GSM1484824_Donor33_Day224_Rep1.bed.gz,S42
AOD43,data/GSE60682_RAW/GSM1484825_Donor33_Day224_Rep2.bed.gz,S43
AOD44,data/GSE60682_RAW/GSM1484826_Donor4_Day107_Rep1.bed.gz,S44
AOD45,data/GSE60682_RAW/GSM1484827_Donor4_Day107_Rep2.bed.gz,S45
AOD46,data/GSE60682_RAW/GSM1484828_Donor4_Day224_Rep1.bed.gz,S46
AOD47,data/GSE60682_RAW/GSM1484829_Donor4_Day224_Rep2.bed.gz,S47
AOD48,data/GSE60682_RAW/GSM1484830_Donor4_Day37_Rep1.bed.gz,S48
AOD49,data/GSE60682_RAW/GSM1484831_Donor5_CTCL_Rep1.bed.gz,S49
AOD50,data/GSE60682_RAW/GSM1484832_Donor5_CTCL_Rep2.bed.gz,S50
AOD51,data/GSE60682_RAW/GSM1484833_Donor5_CTCL_Rep3.bed.gz,S51
AOD52,data/GSE60682_RAW/GSM1484834_Donor5_CTCL_Rep4.bed.gz,S52
AOD53,data/GSE60682_RAW/GSM1484835_Donor6_Day38_Rep1.bed.gz,S53
AOD54,data/GSE60682_RAW/GSM1484836_Donor7_Day38_Rep1.bed.gz,S54
AOD55,data/GSE60682_RAW/GSM1484837_Donor8_Day38_Rep1.bed.gz,S55
AOD56,data/GSE60682_RAW/GSM1484838_Donor9_Day38_Rep1.bed.gz,S56
AOD57,data/GSE60682_RAW/GSM1484839_Donor31_Day192_Rep1.bed.gz,S57
AOD58,data/GSE60682_RAW/GSM1484840_Donor31_Day192_Rep2.bed.gz,S58
